N,Size,Environment,Kind,Result,Time
1,8,CSP,no loop,no cycle,0.1205
1,9,CSP,loop,cycle found,0.01635
2,10,CSP,no loop,no cycle,0.01434
2,11,CSP,loop,cycle found,0.01763
3,12,CSP,no loop,no cycle,0.01796
3,13,CSP,loop,cycle found,0.02316
4,14,CSP,no loop,no cycle,0.02118
4,15,CSP,loop,cycle found,0.02607
5,16,CSP,no loop,no cycle,0.02447
5,17,CSP,loop,cycle found,0.02955
6,18,CSP,no loop,no cycle,0.02918
6,19,CSP,loop,cycle found,0.03131
7,20,CSP,no loop,no cycle,0.03365
7,21,CSP,loop,cycle found,0.03708
8,22,CSP,no loop,no cycle,0.04279
8,23,CSP,loop,cycle found,0.05026
9,24,CSP,no loop,no cycle,0.04509
9,25,CSP,loop,cycle found,0.05726
10,26,CSP,no loop,no cycle,0.05211
10,27,CSP,loop,cycle found,0.06902
11,28,CSP,no loop,no cycle,0.06047
11,29,CSP,loop,cycle found,0.07478
12,30,CSP,no loop,no cycle,0.0715
12,31,CSP,loop,cycle found,0.07669
13,32,CSP,no loop,no cycle,0.08254
13,33,CSP,loop,cycle found,0.09386
14,34,CSP,no loop,no cycle,0.08541
14,35,CSP,loop,cycle found,0.11546
15,36,CSP,no loop,no cycle,0.09973
15,37,CSP,loop,cycle found,0.1268
16,38,CSP,no loop,no cycle,0.11049
16,39,CSP,loop,cycle found,0.13219
17,40,CSP,no loop,no cycle,0.13199
17,41,CSP,loop,cycle found,0.14446
18,42,CSP,no loop,no cycle,0.13788
18,43,CSP,loop,cycle found,0.17109
19,44,CSP,no loop,no cycle,0.173
19,45,CSP,loop,cycle found,0.18451
20,46,CSP,no loop,no cycle,0.1878
20,47,CSP,loop,cycle found,0.20242
21,48,CSP,no loop,no cycle,0.20379
21,49,CSP,loop,cycle found,0.21696
22,50,CSP,no loop,no cycle,0.23301
22,51,CSP,loop,cycle found,0.23899
23,52,CSP,no loop,no cycle,0.24144
23,53,CSP,loop,cycle found,0.26468
24,54,CSP,no loop,no cycle,0.28231
24,55,CSP,loop,cycle found,0.29528
25,56,CSP,no loop,no cycle,0.30423
25,57,CSP,loop,cycle found,0.31968
26,58,CSP,no loop,no cycle,0.33723
26,59,CSP,loop,cycle found,0.34604
27,60,CSP,no loop,no cycle,0.36374
27,61,CSP,loop,cycle found,0.39269
28,62,CSP,no loop,no cycle,0.41668
28,63,CSP,loop,cycle found,0.40469
29,64,CSP,no loop,no cycle,0.43725
29,65,CSP,loop,cycle found,0.46707
30,66,CSP,no loop,no cycle,0.47099
30,67,CSP,loop,cycle found,0.48947
31,68,CSP,no loop,no cycle,0.47541
31,69,CSP,loop,cycle found,0.53165
32,70,CSP,no loop,no cycle,0.53976
32,71,CSP,loop,cycle found,0.58223
33,72,CSP,no loop,no cycle,0.57394
33,73,CSP,loop,cycle found,0.61909
34,74,CSP,no loop,no cycle,0.61039
34,75,CSP,loop,cycle found,0.64653
35,76,CSP,no loop,no cycle,0.65809
35,77,CSP,loop,cycle found,0.70491
36,78,CSP,no loop,no cycle,0.72596
36,79,CSP,loop,cycle found,0.7741
37,80,CSP,no loop,no cycle,0.76673
37,81,CSP,loop,cycle found,0.79582
38,82,CSP,no loop,no cycle,0.81077
38,83,CSP,loop,cycle found,0.86479
39,84,CSP,no loop,no cycle,0.8478
39,85,CSP,loop,cycle found,0.92256
40,86,CSP,no loop,no cycle,0.94385
40,87,CSP,loop,cycle found,1.01892
41,88,CSP,no loop,no cycle,1.01895
41,89,CSP,loop,cycle found,1.09212
42,90,CSP,no loop,no cycle,1.14643
42,91,CSP,loop,cycle found,1.22006
43,92,CSP,no loop,no cycle,1.15648
43,93,CSP,loop,cycle found,1.2258
44,94,CSP,no loop,no cycle,1.22395
44,95,CSP,loop,cycle found,1.43223
45,96,CSP,no loop,no cycle,1.43502
45,97,CSP,loop,cycle found,1.36975
46,98,CSP,no loop,no cycle,1.54632
46,99,CSP,loop,cycle found,1.57628
47,100,CSP,no loop,no cycle,1.56306
47,101,CSP,loop,cycle found,1.5954
48,102,CSP,no loop,no cycle,1.6529
48,103,CSP,loop,cycle found,1.8064
49,104,CSP,no loop,no cycle,1.72095
49,105,CSP,loop,cycle found,1.74986
50,106,CSP,no loop,no cycle,1.8523
50,107,CSP,loop,cycle found,1.86869
51,108,CSP,no loop,no cycle,1.88084
51,109,CSP,loop,cycle found,2.08712
52,110,CSP,no loop,no cycle,2.10565
52,111,CSP,loop,cycle found,2.34878
53,112,CSP,no loop,no cycle,2.2535
53,113,CSP,loop,cycle found,2.34021
54,114,CSP,no loop,no cycle,2.24101
54,115,CSP,loop,cycle found,2.30659
55,116,CSP,no loop,no cycle,2.59632
55,117,CSP,loop,cycle found,2.52062
56,118,CSP,no loop,no cycle,2.67518
56,119,CSP,loop,cycle found,2.85154
57,120,CSP,no loop,no cycle,2.66818
57,121,CSP,loop,cycle found,2.72126
58,122,CSP,no loop,no cycle,2.69653
58,123,CSP,loop,cycle found,2.69612
59,124,CSP,no loop,no cycle,2.68504
59,125,CSP,loop,cycle found,2.9892
60,126,CSP,no loop,no cycle,2.88668
60,127,CSP,loop,cycle found,3.14238
61,128,CSP,no loop,no cycle,3.11531
