Size,Environment,Kind,Result,Time
8,Johnson,no loop,no cycle,0.0392
9,Johnson,loop,cycle found,0.00429
10,Johnson,no loop,no cycle,0.00265
11,Johnson,loop,cycle found,0.0049
12,Johnson,no loop,no cycle,0.0026
13,Johnson,loop,cycle found,0.00299
14,Johnson,no loop,no cycle,0.0026
15,Johnson,loop,cycle found,0.00284
16,Johnson,no loop,no cycle,0.00215
17,Johnson,loop,cycle found,0.00333
18,Johnson,no loop,no cycle,0.00282
19,Johnson,loop,cycle found,0.00301
20,Johnson,no loop,no cycle,0.00224
21,Johnson,loop,cycle found,0.00327
22,Johnson,no loop,no cycle,0.00324
23,Johnson,loop,cycle found,0.00516
24,Johnson,no loop,no cycle,0.00238
25,Johnson,loop,cycle found,0.0043
26,Johnson,no loop,no cycle,0.00296
27,Johnson,loop,cycle found,0.00396
28,Johnson,no loop,no cycle,0.00315
29,Johnson,loop,cycle found,0.0025
30,Johnson,no loop,no cycle,0.00183
31,Johnson,loop,cycle found,0.00229
32,Johnson,no loop,no cycle,0.00282
33,Johnson,loop,cycle found,0.00378
34,Johnson,no loop,no cycle,0.00202
35,Johnson,loop,cycle found,0.00407
36,Johnson,no loop,no cycle,0.00199
37,Johnson,loop,cycle found,0.00367
38,Johnson,no loop,no cycle,0.00163
39,Johnson,loop,cycle found,0.00243
40,Johnson,no loop,no cycle,0.00147
41,Johnson,loop,cycle found,0.00199
42,Johnson,no loop,no cycle,0.00203
43,Johnson,loop,cycle found,0.00276
44,Johnson,no loop,no cycle,0.00398
45,Johnson,loop,cycle found,0.00202
46,Johnson,no loop,no cycle,0.00201
47,Johnson,loop,cycle found,0.00305
48,Johnson,no loop,no cycle,0.00217
49,Johnson,loop,cycle found,0.00228
50,Johnson,no loop,no cycle,0.00162
51,Johnson,loop,cycle found,0.00291
52,Johnson,no loop,no cycle,0.00178
53,Johnson,loop,cycle found,0.002
54,Johnson,no loop,no cycle,0.00283
55,Johnson,loop,cycle found,0.00204
56,Johnson,no loop,no cycle,0.00141
57,Johnson,loop,cycle found,0.00282
58,Johnson,no loop,no cycle,0.00189
59,Johnson,loop,cycle found,0.00226
60,Johnson,no loop,no cycle,0.00153
61,Johnson,loop,cycle found,0.00219
62,Johnson,no loop,no cycle,0.00207
63,Johnson,loop,cycle found,0.00215
64,Johnson,no loop,no cycle,0.00179
65,Johnson,loop,cycle found,0.00251
66,Johnson,no loop,no cycle,0.00144
67,Johnson,loop,cycle found,0.00281
68,Johnson,no loop,no cycle,0.00228
69,Johnson,loop,cycle found,0.00351
70,Johnson,no loop,no cycle,0.00197
71,Johnson,loop,cycle found,0.00242
72,Johnson,no loop,no cycle,0.0015
73,Johnson,loop,cycle found,0.00203
74,Johnson,no loop,no cycle,0.00147
75,Johnson,loop,cycle found,0.00249
76,Johnson,no loop,no cycle,0.00196
77,Johnson,loop,cycle found,0.00301
78,Johnson,no loop,no cycle,0.00186
79,Johnson,loop,cycle found,0.00214
80,Johnson,no loop,no cycle,0.00154
81,Johnson,loop,cycle found,0.00287
82,Johnson,no loop,no cycle,0.00139
83,Johnson,loop,cycle found,0.0021
84,Johnson,no loop,no cycle,0.00163
85,Johnson,loop,cycle found,0.00239
86,Johnson,no loop,no cycle,0.00135
87,Johnson,loop,cycle found,0.00211
88,Johnson,no loop,no cycle,0.0014
89,Johnson,loop,cycle found,0.00216
90,Johnson,no loop,no cycle,0.00212
91,Johnson,loop,cycle found,0.00354
92,Johnson,no loop,no cycle,0.00348
93,Johnson,loop,cycle found,0.00307
94,Johnson,no loop,no cycle,0.00155
95,Johnson,loop,cycle found,0.00229
96,Johnson,no loop,no cycle,0.00154
97,Johnson,loop,cycle found,0.0025
98,Johnson,no loop,no cycle,0.00178
99,Johnson,loop,cycle found,0.00248
100,Johnson,no loop,no cycle,0.00155
101,Johnson,loop,cycle found,0.00248
102,Johnson,no loop,no cycle,0.00167
103,Johnson,loop,cycle found,0.00246
104,Johnson,no loop,no cycle,0.00165
105,Johnson,loop,cycle found,0.00311
106,Johnson,no loop,no cycle,0.0019
107,Johnson,loop,cycle found,0.00279
108,Johnson,no loop,no cycle,0.00212
109,Johnson,loop,cycle found,0.00344
110,Johnson,no loop,no cycle,0.00177
111,Johnson,loop,cycle found,0.00402
112,Johnson,no loop,no cycle,0.00192
113,Johnson,loop,cycle found,0.00375
114,Johnson,no loop,no cycle,0.00167
115,Johnson,loop,cycle found,0.00394
116,Johnson,no loop,no cycle,0.00184
117,Johnson,loop,cycle found,0.00441
118,Johnson,no loop,no cycle,0.00225
119,Johnson,loop,cycle found,0.00295
120,Johnson,no loop,no cycle,0.00181
121,Johnson,loop,cycle found,0.00327
122,Johnson,no loop,no cycle,0.00206
123,Johnson,loop,cycle found,0.00345
124,Johnson,no loop,no cycle,0.00172
125,Johnson,loop,cycle found,0.00304
126,Johnson,no loop,no cycle,0.00163
127,Johnson,loop,cycle found,0.00306
128,Johnson,no loop,no cycle,0.00171
129,Johnson,loop,cycle found,0.00305
130,Johnson,no loop,no cycle,0.00177
131,Johnson,loop,cycle found,0.00313
132,Johnson,no loop,no cycle,0.00171
133,Johnson,loop,cycle found,0.00328
134,Johnson,no loop,no cycle,0.00177
135,Johnson,loop,cycle found,0.00373
136,Johnson,no loop,no cycle,0.00171
