Size,Environment,Kind,Result,Time
8,Johnson,no loop,no cycle,0.03632
9,Johnson,loop,cycle found,0.00413
10,Johnson,no loop,no cycle,0.00233
11,Johnson,loop,cycle found,0.00503
12,Johnson,no loop,no cycle,0.00247
13,Johnson,loop,cycle found,0.00305
14,Johnson,no loop,no cycle,0.00229
15,Johnson,loop,cycle found,0.00321
16,Johnson,no loop,no cycle,0.00225
17,Johnson,loop,cycle found,0.00325
18,Johnson,no loop,no cycle,0.00221
19,Johnson,loop,cycle found,0.00273
20,Johnson,no loop,no cycle,0.00269
21,Johnson,loop,cycle found,0.00267
22,Johnson,no loop,no cycle,0.00213
23,Johnson,loop,cycle found,0.00382
24,Johnson,no loop,no cycle,0.0021
25,Johnson,loop,cycle found,0.0025
26,Johnson,no loop,no cycle,0.00203
27,Johnson,loop,cycle found,0.00307
28,Johnson,no loop,no cycle,0.00242
29,Johnson,loop,cycle found,0.00244
30,Johnson,no loop,no cycle,0.00171
31,Johnson,loop,cycle found,0.00226
32,Johnson,no loop,no cycle,0.00183
33,Johnson,loop,cycle found,0.00385
34,Johnson,no loop,no cycle,0.00271
35,Johnson,loop,cycle found,0.00401
36,Johnson,no loop,no cycle,0.00268
37,Johnson,loop,cycle found,0.00259
38,Johnson,no loop,no cycle,0.00204
39,Johnson,loop,cycle found,0.00261
40,Johnson,no loop,no cycle,0.00136
41,Johnson,loop,cycle found,0.00196
42,Johnson,no loop,no cycle,0.00175
43,Johnson,loop,cycle found,0.00267
44,Johnson,no loop,no cycle,0.00176
45,Johnson,loop,cycle found,0.00192
46,Johnson,no loop,no cycle,0.00146
47,Johnson,loop,cycle found,0.00266
48,Johnson,no loop,no cycle,0.00133
49,Johnson,loop,cycle found,0.00173
50,Johnson,no loop,no cycle,0.00148
51,Johnson,loop,cycle found,0.0022
52,Johnson,no loop,no cycle,0.00138
53,Johnson,loop,cycle found,0.00202
54,Johnson,no loop,no cycle,0.00127
55,Johnson,loop,cycle found,0.00175
56,Johnson,no loop,no cycle,0.00185
57,Johnson,loop,cycle found,0.00187
58,Johnson,no loop,no cycle,0.00148
59,Johnson,loop,cycle found,0.0019
60,Johnson,no loop,no cycle,0.00166
61,Johnson,loop,cycle found,0.00188
62,Johnson,no loop,no cycle,0.00156
63,Johnson,loop,cycle found,0.00218
64,Johnson,no loop,no cycle,0.00167
65,Johnson,loop,cycle found,0.00254
66,Johnson,no loop,no cycle,0.00162
67,Johnson,loop,cycle found,0.00232
68,Johnson,no loop,no cycle,0.00139
69,Johnson,loop,cycle found,0.00285
70,Johnson,no loop,no cycle,0.00127
71,Johnson,loop,cycle found,0.00236
72,Johnson,no loop,no cycle,0.00223
73,Johnson,loop,cycle found,0.00213
74,Johnson,no loop,no cycle,0.00123
75,Johnson,loop,cycle found,0.00213
76,Johnson,no loop,no cycle,0.00168
77,Johnson,loop,cycle found,0.00231
78,Johnson,no loop,no cycle,0.00157
79,Johnson,loop,cycle found,0.00195
80,Johnson,no loop,no cycle,0.00125
81,Johnson,loop,cycle found,0.0019
82,Johnson,no loop,no cycle,0.00149
83,Johnson,loop,cycle found,0.00264
84,Johnson,no loop,no cycle,0.00128
85,Johnson,loop,cycle found,0.00221
86,Johnson,no loop,no cycle,0.00159
87,Johnson,loop,cycle found,0.00281
88,Johnson,no loop,no cycle,0.00209
89,Johnson,loop,cycle found,0.00249
90,Johnson,no loop,no cycle,0.00161
91,Johnson,loop,cycle found,0.002
92,Johnson,no loop,no cycle,0.00121
93,Johnson,loop,cycle found,0.00242
94,Johnson,no loop,no cycle,0.00153
95,Johnson,loop,cycle found,0.00221
96,Johnson,no loop,no cycle,0.00125
97,Johnson,loop,cycle found,0.00218
98,Johnson,no loop,no cycle,0.00175
99,Johnson,loop,cycle found,0.00314
100,Johnson,no loop,no cycle,0.00125
101,Johnson,loop,cycle found,0.00228
102,Johnson,no loop,no cycle,0.00179
103,Johnson,loop,cycle found,0.00272
104,Johnson,no loop,no cycle,0.00152
105,Johnson,loop,cycle found,0.00314
106,Johnson,no loop,no cycle,0.0016
107,Johnson,loop,cycle found,0.00248
108,Johnson,no loop,no cycle,0.00185
109,Johnson,loop,cycle found,0.00367
110,Johnson,no loop,no cycle,0.00157
111,Johnson,loop,cycle found,0.00366
112,Johnson,no loop,no cycle,0.00213
113,Johnson,loop,cycle found,0.00325
114,Johnson,no loop,no cycle,0.00136
115,Johnson,loop,cycle found,0.00279
116,Johnson,no loop,no cycle,0.00195
117,Johnson,loop,cycle found,0.00264
118,Johnson,no loop,no cycle,0.00146
119,Johnson,loop,cycle found,0.00423
120,Johnson,no loop,no cycle,0.00149
121,Johnson,loop,cycle found,0.00316
122,Johnson,no loop,no cycle,0.00199
123,Johnson,loop,cycle found,0.00313
124,Johnson,no loop,no cycle,0.00201
125,Johnson,loop,cycle found,0.0039
126,Johnson,no loop,no cycle,0.00136
127,Johnson,loop,cycle found,0.00267
128,Johnson,no loop,no cycle,0.00132
129,Johnson,loop,cycle found,0.00302
130,Johnson,no loop,no cycle,0.00192
131,Johnson,loop,cycle found,0.00297
132,Johnson,no loop,no cycle,0.00156
133,Johnson,loop,cycle found,0.00288
134,Johnson,no loop,no cycle,0.00166
135,Johnson,loop,cycle found,0.00499
136,Johnson,no loop,no cycle,0.00143
137,Johnson,loop,cycle found,0.0029
138,Johnson,no loop,no cycle,0.00137
139,Johnson,loop,cycle found,0.00298
140,Johnson,no loop,no cycle,0.00143
141,Johnson,loop,cycle found,0.00309
142,Johnson,no loop,no cycle,0.0018
143,Johnson,loop,cycle found,0.00329
144,Johnson,no loop,no cycle,0.00148
145,Johnson,loop,cycle found,0.00334
146,Johnson,no loop,no cycle,0.00141
147,Johnson,loop,cycle found,0.00303
148,Johnson,no loop,no cycle,0.00142
149,Johnson,loop,cycle found,0.0035
150,Johnson,no loop,no cycle,0.00146
151,Johnson,loop,cycle found,0.00407
152,Johnson,no loop,no cycle,0.00157
153,Johnson,loop,cycle found,0.0051
154,Johnson,no loop,no cycle,0.00166
155,Johnson,loop,cycle found,0.00436
156,Johnson,no loop,no cycle,0.00158
157,Johnson,loop,cycle found,0.0035
158,Johnson,no loop,no cycle,0.0016
159,Johnson,loop,cycle found,0.00401
160,Johnson,no loop,no cycle,0.00165
161,Johnson,loop,cycle found,0.00389
162,Johnson,no loop,no cycle,0.00152
163,Johnson,loop,cycle found,0.0035
164,Johnson,no loop,no cycle,0.00151
165,Johnson,loop,cycle found,0.00353
166,Johnson,no loop,no cycle,0.00157
167,Johnson,loop,cycle found,0.00413
168,Johnson,no loop,no cycle,0.00182
169,Johnson,loop,cycle found,0.00408
170,Johnson,no loop,no cycle,0.00226
171,Johnson,loop,cycle found,0.00659
172,Johnson,no loop,no cycle,0.00206
173,Johnson,loop,cycle found,0.0054
174,Johnson,no loop,no cycle,0.00168
175,Johnson,loop,cycle found,0.00392
176,Johnson,no loop,no cycle,0.00224
177,Johnson,loop,cycle found,0.00434
178,Johnson,no loop,no cycle,0.00188
179,Johnson,loop,cycle found,0.00469
180,Johnson,no loop,no cycle,0.0019
181,Johnson,loop,cycle found,0.00443
182,Johnson,no loop,no cycle,0.0018
183,Johnson,loop,cycle found,0.00421
184,Johnson,no loop,no cycle,0.00192
185,Johnson,loop,cycle found,0.00431
186,Johnson,no loop,no cycle,0.00238
187,Johnson,loop,cycle found,0.00496
188,Johnson,no loop,no cycle,0.00195
189,Johnson,loop,cycle found,0.00457
190,Johnson,no loop,no cycle,0.00186
191,Johnson,loop,cycle found,0.005
192,Johnson,no loop,no cycle,0.00214
193,Johnson,loop,cycle found,0.00489
