Size,Environment,Kind,Result,Time
8,Alloy,no loop,passed,0.23727
9,Alloy,loop,failed,0.04008
8,CSP,no loop,passed,0.08596
9,CSP,loop,failed,0.01646
10,Alloy,no loop,passed,0.03159
11,Alloy,loop,failed,0.03492
10,CSP,no loop,passed,0.01938
11,CSP,loop,failed,0.02382
12,Alloy,no loop,passed,0.03177
13,Alloy,loop,failed,0.03732
12,CSP,no loop,passed,0.01857
13,CSP,loop,failed,0.02471
14,Alloy,no loop,passed,0.03487
15,Alloy,loop,failed,0.04238
14,CSP,no loop,passed,0.02512
15,CSP,loop,failed,0.02619
16,Alloy,no loop,passed,0.04436
17,Alloy,loop,failed,0.06057
16,CSP,no loop,passed,0.02693
17,CSP,loop,failed,0.03138
18,Alloy,no loop,passed,0.07225
19,Alloy,loop,failed,0.08101
18,CSP,no loop,passed,0.03183
19,CSP,loop,failed,0.03563
20,Alloy,no loop,passed,0.07854
21,Alloy,loop,failed,0.09502
20,CSP,no loop,passed,0.0365
21,CSP,loop,failed,0.03701
22,Alloy,no loop,passed,0.09812
23,Alloy,loop,failed,0.12562
22,CSP,no loop,passed,0.0427
23,CSP,loop,failed,0.04448
24,Alloy,no loop,passed,0.13742
25,Alloy,loop,failed,0.14293
24,CSP,no loop,passed,0.0474
25,CSP,loop,failed,0.05961
26,Alloy,no loop,passed,0.15647
27,Alloy,loop,failed,0.17935
26,CSP,no loop,passed,0.0514
27,CSP,loop,failed,0.05993
28,Alloy,no loop,passed,0.20366
29,Alloy,loop,failed,0.2253
28,CSP,no loop,passed,0.05903
29,CSP,loop,failed,0.06968
30,Alloy,no loop,passed,0.25958
31,Alloy,loop,failed,0.27279
30,CSP,no loop,passed,0.06613
31,CSP,loop,failed,0.0839
32,Alloy,no loop,passed,0.31467
33,Alloy,loop,failed,0.45442
32,CSP,no loop,passed,0.08745
33,CSP,loop,failed,0.09794
34,Alloy,no loop,passed,0.44314
35,Alloy,loop,failed,0.48858
34,CSP,no loop,passed,0.087
35,CSP,loop,failed,0.10006
36,Alloy,no loop,passed,0.52273
37,Alloy,loop,failed,0.60384
36,CSP,no loop,passed,0.10329
37,CSP,loop,failed,0.11574
38,Alloy,no loop,passed,0.64306
39,Alloy,loop,failed,0.74105
38,CSP,no loop,passed,0.11397
39,CSP,loop,failed,0.138
40,Alloy,no loop,passed,0.76629
41,Alloy,loop,failed,0.88787
40,CSP,no loop,passed,0.12977
41,CSP,loop,failed,0.15014
42,Alloy,no loop,passed,0.9638
43,Alloy,loop,failed,0.97032
42,CSP,no loop,passed,0.14376
43,CSP,loop,failed,0.16635
44,Alloy,no loop,passed,1.12575
45,Alloy,loop,failed,1.19583
44,CSP,no loop,passed,0.17202
45,CSP,loop,failed,0.2032
46,Alloy,no loop,passed,1.15727
47,Alloy,loop,failed,1.35636
46,CSP,no loop,passed,0.19405
47,CSP,loop,failed,0.2017
48,Alloy,no loop,passed,1.42063
49,Alloy,loop,failed,1.49053
48,CSP,no loop,passed,0.20219
49,CSP,loop,failed,0.24171
50,Alloy,no loop,passed,1.57972
51,Alloy,loop,failed,1.78647
50,CSP,no loop,passed,0.22559
51,CSP,loop,failed,0.26296
52,Alloy,no loop,passed,1.90885
53,Alloy,loop,failed,2.15689
52,CSP,no loop,passed,0.2516
53,CSP,loop,failed,0.28919
54,Alloy,no loop,passed,2.04093
55,Alloy,loop,failed,2.22499
54,CSP,no loop,passed,0.27875
55,CSP,loop,failed,0.31473
56,Alloy,no loop,passed,2.37198
57,Alloy,loop,failed,2.49574
56,CSP,no loop,passed,0.29704
57,CSP,loop,failed,0.34382
58,Alloy,no loop,passed,3.26245
59,Alloy,loop,failed,2.71847
58,CSP,no loop,passed,0.33361
59,CSP,loop,failed,0.38125
60,Alloy,no loop,passed,2.8333
61,Alloy,loop,failed,3.01275
60,CSP,no loop,passed,0.36555
61,CSP,loop,failed,0.39159
62,Alloy,no loop,passed,3.11259
63,Alloy,loop,failed,3.3373
62,CSP,no loop,passed,0.4067
63,CSP,loop,failed,0.43298
64,Alloy,no loop,passed,3.42764
65,Alloy,loop,failed,4.59583
64,CSP,no loop,passed,0.46927
65,CSP,loop,failed,0.48268
66,Alloy,no loop,passed,4.74068
67,Alloy,loop,failed,5.01726
66,CSP,no loop,passed,0.48232
67,CSP,loop,failed,0.497
